RK,PLAYER,POS,TEAM,AST,TOTAL,COMB,SACK,YDSL,PD,INT,YDS,LONG,TD,FF,REC,TD,YEAR
NA,Justin Ellis, DT,OAK,16,22,38,0.5,1,0,0,0,0,0,0,0,0,2017
NA,
NA,Quandre Diggs, CB,DET,7,31,38,0.0,0,5,0,0,0,0,0,0,0,2017
NA,Leonard Williams, DE,NYJ,21,17,38,2.0,12,0,0,0,0,0,0,0,0,2017
NA,Xavien Howard, CB,MIA,5,33,38,0.0,0,9,2,42,30,1,0,0,0,2017
NA,Jourdan Lewis, CB,DAL,3,35,38,0.0,0,6,1,25,25,0,0,0,0,2017
NA,A'Shawn Robinson, DT,DET,12,26,38,0.0,0,4,1,2,2,1,1,0,0,2017
NA,Kenny Clark, DT,GB,13,25,38,2.0,11,1,0,0,0,0,2,0,0,2017
227,Marcus Gilchrist, S,HOU,7,30,37,1.0,8,5,1,17,17,0,1,0,0,2017
NA,Nick Perry, LB,GB,15,22,37,7.0,43,0,0,0,0,0,1,1,0,2017
NA,Leonard Johnson, CB,BUF,8,29,37,0.0,0,4,0,0,0,0,1,1,0,2017
NA,Shawn Williams, S,CIN,12,25,37,0.0,0,0,0,0,0,0,0,2,0,2017
NA,
NA,Eddie Goldman, NT,CHI,13,24,37,1.5,6,0,0,0,0,0,0,1,0,2017
NA,Dalvin Tomlinson, DT,NYG,19,18,37,1.0,9,0,0,0,0,0,0,0,0,2017
NA,T.J. Watt, LB,PIT,9,28,37,5.0,27,6,1,17,17,0,0,0,0,2017
NA,Jayon Brown, LB,TEN,11,26,37,0.5,2,4,0,0,0,0,0,0,0,2017
235,Terrell Suggs, LB,BAL,8,28,36,10.5,67,3,0,0,0,0,4,0,0,2017
NA,Lardarius Webb, S,BAL,2,34,36,2.0,13,4,2,10,10,0,1,0,0,2017
NA,Patrick Robinson, CB,PHI,7,29,36,0.0,0,13,3,17,17,0,0,0,0,2017
NA,Carlos Dunlap, DE,CIN,8,28,36,4.5,19,3,1,16,16,1,1,0,0,2017
NA,Geno Atkins, DT,CIN,13,23,36,7.0,52,0,0,0,0,0,0,0,0,2017
NA,Everson Griffen, DE,MIN,9,27,36,12.0,74,0,0,0,0,0,3,0,0,2017
,
241,Robert McClain, CB,TB,6,30,36,0.0,0,4,2,53,47,1,0,0,0,2017
NA,Ryan Kerrigan, LB,WSH,11,25,36,9.0,46,1,1,24,24,1,2,0,0,2017
NA,Mike Daniels, DT,GB,10,26,36,4.0,32,0,0,0,0,0,1,0,0,2017
NA,Manti Te'o, LB,NO,15,21,36,0.0,0,1,0,0,0,0,0,0,0,2017
NA,Rashaan Melvin, CB,IND,6,30,36,0.0,0,13,3,28,21,0,0,0,0,2017
NA,Jonathan Jones, CB,NE,4,32,36,1.0,15,8,1,6,6,0,0,0,0,2017
